"Number","Name","Short Name","Level","Desc 1","Desc 2","Cast MSG A","Cast MSG B","MSG Style","Energy","Mana","Min","Max","Spell Type","Type of Resists","Difficulty","Target","Duration","Attack Type","Resist Ability","Magery A","Magery B","Level Cap","LVLS Max Increase","Max Increase","LVLS Min Increase","Min Increase","LVLS Dur Increase","Dur Increase","UNDEFINED01","UNDEFINED02","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
14,"bless","bles",2,"This spell will make the target's attacks more","accurate in combat.",0,16,32,0,4,3,3,3,1,5,2,40,4,0,2,0,20,0,0,0,0,1,5,0,35,22,0,115,8539,122,15,122,75,122,23,122,62,122,146,122,668,0,8224,0,32
15,"curse","curs",2,"This spell will make the target's attacks less","likely to hit.",0,17,32,0,4,-6,-6,3,2,5,8,40,4,0,2,0,20,0,0,0,0,1,5,0,4,22,0,52,5,115,8540,122,14,122,23,0,0,0,8224,0,8224,0,8224,0,32
16,"spiritual hammer","hamm",4,"You launch a hammer of holy force at the target.",,0,8490,32,1000,3,4,14,0,0,5,8,0,4,0,2,0,11,1,1,0,0,1,0,0,6,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
17,"major healing","mahe",8,"This spell heals a target's wounds.",,0,19,32,0,6,6,10,3,1,-5,2,0,4,0,2,0,30,1,1,3,1,1,0,0,5,18,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
18,"turn undead","turn",3,"This spell will cause a great amount of damage to","undead creatures.",1,20,32,1000,4,12,15,0,0,0,4,0,4,0,2,0,20,1,3,1,1,1,0,0,7,1,0,23,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
19,"cure poison","cure",7,"This spell will remove all poison from the","target's system.",1,21,32,0,8,8,8,3,1,-10,2,0,4,0,2,0,30,0,0,0,0,1,0,0,10,20,0,73,19,122,794,122,798,0,0,0,8224,0,8224,0,8224,0,8224,0,32
20,"holy aura","aura",9,"This spell creates a shield to help protect","against evil.",0,22,32,0,15,10,10,3,1,-10,13,60,4,0,2,3,32,0,0,0,0,1,0,0,9,24,0,97,0,115,8541,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
21,"unholy aura","unho",9,"This spell will protect the target against Good","creatures.",0,23,32,0,15,10,10,3,1,-10,13,60,4,0,2,3,32,0,0,0,0,1,0,0,9,25,0,98,0,115,8542,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
22,"agony","agon",8,"This spell will cause massive damage and pain to","a target.",0,24,32,1000,5,18,11,0,2,0,8,0,4,0,2,0,15,1,3,0,0,1,0,0,30,17,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
23,"chant","chan",6,"This spell will add to the accuracy of all good","aligned users in the room.",0,110,32,0,10,3,3,3,1,-5,13,40,4,0,2,0,32,0,0,0,0,1,5,0,20,22,0,115,8539,122,75,122,15,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
24,"detect magic","dtec",5,"This spell tells you whether or not a specific","item is magical.",1,37,32,0,8,1,1,3,0,-10,7,0,4,0,1,2,32,0,0,0,0,1,0,0,3,26,1,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
25,"vine strike","vine",1,"With this spell, the caster throws out a thorny","vine to strike his foe.",1,14,32,1000,1,4,9,0,0,15,8,0,4,0,3,0,6,2,1,0,0,1,0,0,2,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
26,"starlight","star",1,"This spells focuses the power of the stars to","illuminate an area.",0,8249,32,0,4,175,175,3,0,0,1,80,4,0,3,0,32,0,0,0,0,1,1,0,2,14,0,115,2092,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
27,"mend","mend",2,"By casting this spell, the wounds of the target","are healed.",0,8250,32,0,4,3,12,3,1,8,2,0,4,0,3,0,30,2,1,3,1,1,0,0,35,18,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
28,"resist fire","rfir",5,"This spells makes the target more resistant to","fire attacks.",0,9,32,0,8,0,0,3,1,-5,2,70,4,0,3,0,20,1,1,1,1,1,0,0,4,5,0,115,8527,122,29,122,897,122,32,122,6,122,9,0,1053,0,32,0,1054
29,"resist cold","rcol",3,"This spell makes the target more resistant to cold","and cold attacks.",0,6,32,0,6,0,0,3,1,5,2,70,4,0,3,0,20,1,1,1,1,1,0,0,4,3,0,115,8526,122,9,122,28,122,6,122,897,122,792,0,0,0,0,0,0
30,"elemental chaos","chao",4,"This spell disrupts the elemental balance of the","target, causing major damage.",0,18,32,1000,3,7,13,0,0,5,8,0,4,0,3,0,11,1,1,0,0,1,0,0,5,17,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
31,"antidote","anti",6,"This spell transforms all toxins and poisons in","the target's body into harmless fluid.",0,8252,32,0,8,8,8,3,1,-15,2,0,4,0,3,0,32,0,0,0,0,1,0,0,8,20,0,73,19,122,794,122,798,0,0,0,8224,0,8224,0,8224,0,8224,0,32
32,"resist lightning","rlit",9,"This spell protects the target from lightning,","magical or otherwise.",0,8253,32,0,10,1,1,3,1,0,2,60,4,0,3,0,20,1,1,1,1,1,0,0,10,66,0,115,8529,122,1013,122,897,122,792,0,0,0,0,0,0,0,0,0,0
33,"swarm","swar",12,"A swarm of viscious stinging insects assaults","the target when this spell is cast.",0,98,32,1000,28,24,36,0,0,-10,12,0,4,0,3,0,20,1,2,0,0,1,0,0,25,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
34,"barkskin","skin",7,"This spell hardens the target's skin until it is","as hard as bark.",1,981,32,0,15,10,10,3,1,-5,1,40,4,0,3,0,20,10,10,10,10,1,1,0,22,7,0,115,8528,2,5,122,422,122,289,122,1194,122,1381,122,1062,5,-25,0,32
35,"poison bolt","pbol",10,"A bolt of poisonous venom is summoned to strike","your foe!",1,3242,32,999,6,19,15,0,2,0,8,0,6,0,3,0,17,1,2,5,1,0,0,0,20,17,0,52,0,151,1366,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
36,"way of the swan","swan",2,"By focusing upon the inner peace and gentleness of","the swan, you heal your physical body of damage.",0,8276,32,0,1,3,3,3,0,100,1,0,4,0,5,0,20,2,1,2,1,1,0,0,0,18,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
37,"way of the owl","owl",3,"By concentrating upon the calmness and wisdom of","the Owl, you focus your mind into a tower of iron",0,8277,114,0,2,10,10,3,0,0,1,60,4,0,5,0,114,0,0,0,0,1,0,0,0,36,0,115,8546,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
38,"way of the tiger","tige",5,"By meditating upon the strength and ferocity of","the Tiger, you attack with greater power.",0,8277,32,0,3,2,2,3,0,100,1,60,4,0,5,0,30,10,1,10,1,1,0,0,0,4,0,115,8547,89,0,90,0,91,0,0,8224,0,8224,0,8224,0,8224,0,32
39,"way of the cat","cat",4,"By calming your inner self and concentrating upon","the stealthy qualities of the Cat, you may move",1,8279,32,0,3,0,0,3,0,0,1,60,4,0,5,0,30,2,1,2,1,1,1,0,0,27,0,115,8548,117,0,118,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
40,"way of the rat","rat",6,"While in effect, purifies your body so it will","not be effected by poison.",1,8280,0,0,4,0,0,3,0,0,1,60,4,0,5,0,50,1,2,1,2,5,2,0,0,21,0,115,587,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
41,"song of lore","lore",1,"By singing this song, the Bard learns the object's","history and magical nature.",0,8500,32,0,2,1,1,3,0,0,7,0,4,0,4,0,32,0,0,0,0,1,0,0,0,26,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
42,"song of valour","valr",2,"By singing this song, the Bard improves the","target's morale so that he fights with increased",0,8500,32,0,4,5,5,3,1,11,13,35,4,0,4,0,32,0,0,0,0,1,5,0,0,22,0,115,8605,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
43,"song of misfortune","mfor",3,"With this song, the Bard brings down a blight upon","the target, rendering him demoralized and less",0,8500,32,0,4,-10,-10,3,2,11,12,20,4,0,4,0,32,0,0,0,0,1,5,0,0,22,0,52,0,115,8606,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
44,"song of discord","disc",3,"With this song, the Bard causes pain and damage","to the target.",0,8504,32,1000,2,3,13,0,0,8,8,0,4,0,4,0,13,3,2,3,1,1,0,0,0,1,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
45,"song of brilliance","bril",5,"This song makes the subject temporarily more","intelligent.",1,8507,32,0,6,5,5,3,1,2,2,40,4,0,4,0,30,0,0,0,0,1,1,0,0,44,0,115,8549,122,97,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
46,"song of wisdom","wisd",4,"This song temporarily increases the subject's","wisdom.",0,8505,32,0,4,5,5,3,1,5,2,40,4,0,4,0,30,0,0,0,0,1,1,0,0,45,0,115,8550,122,96,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
47,"song of might","mite",6,"This song temporarily increases the subject's","Strength.",0,8509,32,0,8,5,5,3,1,-2,2,40,4,0,4,0,30,0,0,0,0,1,1,0,0,46,0,115,8551,122,98,122,1106,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
48,"song of agility","agil",7,"This song temporarily increases the subject's","Agility.",0,8511,32,0,10,5,5,3,1,-5,2,40,4,0,4,0,30,0,0,0,0,1,1,0,0,48,0,115,8552,122,99,122,1108,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
49,"song of charming","char",4,"This song charms creatures to follow you around","and aid you in combat!",1,8503,32,0,4,100,100,3,2,5,4,100,4,0,4,0,32,0,0,0,0,1,0,0,0,6,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
50,"red potion","red",0,,,0,8376,32,0,0,2,8,3,1,0,1,0,4,0,0,0,32,0,0,0,0,1,0,0,0,18,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
51,"flash","flas",7,"Creates a blinding flash of light, causing your","foes to see only darkness.",1,8457,32,0,10,9999,9999,3,2,-5,12,5,4,0,1,1,20,0,0,0,0,2,1,0,0,107,0,2,-5,22,-8,52,0,115,8534,0,8224,0,8224,0,8224,0,8224,0,32
52,"magic armour","armr",6,"This spell increases your armour and resistance","to damage!",1,8459,32,0,6,5,5,3,1,-5,1,60,4,0,1,3,15,3,1,3,1,1,3,0,0,7,0,115,8533,2,5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
53,"song of dazzling","dazl",14,"This song bedazzles the opponent, distracting them","from their task.",0,8514,32,0,14,25,25,3,2,-35,8,10,4,0,4,0,32,0,0,0,0,0,0,0,0,71,0,52,0,101,8489,115,8538,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
54,"vampiric touch","vamp",11,"Steals the lifeforce of the target and changes it","to become your own!",1,8377,32,1000,8,8,20,0,1,-7,8,0,4,0,1,1,32,0,0,0,0,1,0,0,0,8,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
55,"enslave","ensl",18,"Enslaves a creature to follow you around and help","you in battle!",1,7,32,0,12,0,0,3,2,-35,4,60,4,0,1,2,32,0,0,0,0,1,0,0,0,6,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
56,"sunbolt","sbol",13,"Fires a shimmering bolt of fiery energy at the","target!",1,3242,32,1000,8,30,18,0,0,-14,8,0,1,0,1,1,22,2,5,0,0,1,0,0,0,17,0,0,15,0,410,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
57,"speed","sped",12,"This spell speeds you up, brining extra quickness","and haste!",1,8462,32,0,12,85,85,3,1,-20,2,20,4,0,1,1,32,0,0,0,0,1,0,0,0,87,0,115,8537,122,59,122,271,122,282,122,256,122,396,122,106,122,168,122,183
58,"deathtouch","dtch",16,"This spell creates a dark transference of life","from your foe to you.",1,112,33,1000,25,25,18,0,0,-5,8,0,4,0,1,1,25,1,2,0,0,1,0,0,0,8,0,108,0,120,760,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
59,"slow","slow",10,"This spell slows down a target, like that of a","turtle's pace.",1,8463,32,0,12,125,125,3,2,-20,8,10,4,0,1,1,32,0,0,0,0,1,0,0,0,87,0,52,0,115,8536,68,200,122,57,122,272,122,283,122,106,122,183,122,168
60,"fear","fear",0,"This causes a creature to flee in panic!",,1,15,32,0,0,35,90,3,0,100,8,10,4,0,0,0,32,0,0,0,0,1,0,0,0,60,100,115,8543,0,801,0,816,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
61,"greater curse","gcrs",9,"This is a more powerful version of Curse. Not","cumulative with Curse.",0,7,32,0,8,-10,-10,3,2,-10,8,40,4,0,2,0,24,0,0,0,0,1,0,0,0,22,0,115,549,122,146,52,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
62,"divine favour","dfav",19,"This is a very powerful version of Bless. Not","cumulative with the other Bless spells.",0,7,32,0,12,10,10,3,1,-35,2,30,4,0,2,2,32,0,0,0,0,1,0,0,0,22,0,122,67,115,550,122,14,122,15,122,23,122,61,0,0,0,8224,0,32
63,"confusion","conf",14,"This spell makes the target confused, and quick","to fumble at their task.",1,8461,32,0,12,25,25,3,2,-30,8,10,4,0,1,1,0,0,0,0,0,0,0,0,0,71,0,101,8489,52,0,115,8538,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
64,"shockshield","shok",9,"This spell creates a lightning barrier around you","shocking any foes who attack.",1,8460,32,0,12,1,5,3,0,-15,1,40,3,0,1,1,20,0,0,5,1,1,0,0,0,72,0,115,8535,137,1446,66,10,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
65,"dispel magic","disp",5,,,0,16,32,0,5,0,0,3,1,0,6,0,4,0,1,0,32,0,0,0,0,1,0,0,0,73,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
66,"hold person","hold",14,"Creates a barrier around the target stopping them","from walking!",0,8493,32,0,12,100,100,3,2,-30,8,4,4,0,2,0,32,0,0,0,0,1,0,0,0,74,0,52,0,115,8544,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
67,"divine disfavour","disf",19,"This is a very powerful version of Curse. Not","cumulative with the other Curse spells.",0,7,32,0,12,-15,-15,3,2,-40,8,30,4,0,2,2,32,0,0,0,0,1,0,0,0,22,0,122,62,115,551,52,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
68,"mute","mute",10,"Strikes someone mute making spellcasting more","difficult and general communication impossible.",0,77,32,0,8,-40,-20,3,2,-15,8,20,4,0,1,3,32,0,0,0,0,1,0,0,0,70,0,76,0,115,78,52,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
69,"magebind","bind",0,,,0,1828,32,0,0,-150,-50,3,0,100,12,40,4,0,0,0,32,0,0,0,0,1,0,0,0,150,0,115,1827,0,-300,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
70,"freedom","free",16,"Frees a person from spells that keep them stuck in","place!",0,7,32,0,10,100,100,3,1,-40,2,0,4,0,3,0,32,0,0,0,0,1,0,0,0,81,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
71,"burning aura","burn",13,"Surrounds your foe in an aura of consuming fire,","distracting them, making them easier to hit.",1,80,32,0,10,1,1,3,2,-15,8,20,1,0,3,0,15,5,1,5,1,1,0,0,0,1,0,52,0,2,-5,120,621,115,8596,7,-30,22,-5,0,0,0,8224,0,32
72,"spear","spear",0,"spear slam",,1,3077,32,1000,0,0,0,0,0,100,8,0,4,0,0,0,50,1,3,1,2,0,0,0,0,1,0,164,20,151,1169,0,72,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
73,"black wind","wind",21,"A dark energy flows through the room, taking away","sight from those who had it.",0,567,33,0,30,1,1,3,2,-40,12,10,4,0,2,2,32,0,0,0,0,1,0,0,0,107,0,52,0,108,0,115,8534,120,552,22,-10,2,-5,0,8224,0,8224,0,32
74,"remove curse","rcrs",14,"Removes a cursed item, freeing you from it's dark","grasp!",0,7,32,0,20,-1,-1,3,0,-40,2,0,4,0,2,3,0,7,1,7,1,1,0,0,0,84,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
75,"blight","blit",6,"This dark spell covers an area with a twisted","curse causing your foes to make mistakes!",0,111,32,0,10,-6,-6,3,2,-5,12,40,4,0,2,0,32,0,0,0,0,1,5,0,0,22,0,52,0,115,8540,122,23,122,14,0,8224,0,8224,0,8224,0,8224,0,32
77,"blind","blin",12,"Strikes the target blind, making them easier to","hit and have less accuracy in battle!",0,8492,32,0,12,1,1,3,2,-25,8,10,4,0,2,0,20,0,0,0,0,0,0,0,0,107,0,2,-5,22,-8,52,0,115,8534,108,0,0,0,0,8224,0,8224,0,32
78,"breathes flame","breat",0,"Flame breath for hellhounds.",,0,8443,32,1000,0,4,20,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,1,0,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
79,"spits a stream of venom","spit",0,"Poison breath for tentacled abomination",,0,8446,32,1000,0,6,10,1,0,0,0,100,6,0,0,0,32,0,0,0,0,0,0,0,0,19,0,115,8575,144,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
80,"bites","bite",0,"Poison bite for spiders, etc.",,1,8448,33,0,0,8,12,1,0,0,8,100,6,0,0,0,8,0,0,0,0,0,0,0,0,19,0,115,8575,144,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
81,"savagely bites","bite",0,"STRONG poison bite for creatures.",,1,8449,32,1000,0,10,16,1,0,0,8,100,6,0,0,0,32,0,0,0,0,0,0,0,0,19,0,115,8575,144,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
82,"draws the breath","draw",0,"Special attack for Moaning spirits.",,0,8455,32,1000,0,4,12,3,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0,0,8,0,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
83,"high-pitched scream","high",0,"Confusion attack for death dogs",,0,8481,32,0,0,20,20,3,0,0,0,20,4,0,0,0,32,0,0,0,0,0,0,0,0,71,0,115,8560,101,8489,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
84,"breathes","brea",0,"Blinding breath for mummy.",,1,8474,32,1000,0,-10,-10,3,0,0,0,50,4,0,0,0,32,0,0,0,0,0,0,0,0,144,0,22,0,107,1,115,8521,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
85,"speaks in a booming voice","speak",0,"Curse voice for mummy",,0,8475,32,1000,0,-10,-10,3,0,0,0,100,4,0,0,0,32,0,0,0,0,0,0,0,0,22,0,115,8561,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
86,"dissolves","diss",0,"weapon destruction for gelatinous cube",,0,8488,32,1000,0,0,0,3,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0,0,85,0,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
87,"cure blindness","site",12,"Cures blindness.",,0,7,32,0,12,9999,9999,3,1,-25,2,0,4,0,2,0,32,0,0,0,0,0,0,0,0,73,107,0,108,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
88,"control undead","cded",16,"Uses dark forces to charm undead so they can do","your bidding.",1,7,32,0,12,100,100,3,2,-25,4,80,4,0,2,2,0,0,0,0,0,0,0,0,0,6,0,23,0,98,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
89,"greater healing","grhe",15,"A powerful healing spell.",,0,15,32,0,12,5,10,3,1,-25,2,0,4,0,2,2,30,1,2,1,1,0,0,0,0,18,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
90,"hydra head create","head",0,,,1,66,32,0,0,0,0,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,590,12,590,12,590,12,590,12,590,12,590,0,8224,0,8224,0,8224,0,32
91,"alertness","aler",2,"Improves perception, making it easier to find","hidden things!",0,7,32,0,4,10,10,3,1,5,2,60,4,0,3,0,32,0,0,0,0,0,0,0,0,77,0,115,8525,122,137,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
92,"charm animal","char",5,"Charms animal.",,0,7,32,0,10,100,100,3,2,-5,4,60,4,0,3,0,32,0,0,0,0,0,0,0,0,6,0,80,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
93,"entangle","enta",14,"Entangles a foe, with powerful vines!",,1,8495,32,0,12,100,100,3,2,-30,8,4,4,0,3,0,0,0,0,0,0,0,0,0,0,74,0,52,0,115,8530,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
94,"stonestrike","strk",8,"This spell summons a stone and hurls it at your","foe!",1,8497,32,1000,5,14,11,0,0,0,8,0,2,0,3,0,14,1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
95,"acid jet","acid",13,"This spell attacks a foe with a vicious spray of","corrosive acid.",1,8499,32,1000,8,24,18,0,0,-14,8,0,5,0,3,0,20,2,5,0,0,0,0,0,0,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
96,"song of foolishness","fool",5,"This song befuddles your foe into foolishness!",,1,8506,32,0,6,-5,-5,3,2,7,8,40,4,0,4,0,30,0,0,0,0,1,1,0,0,45,0,52,0,115,8553,122,46,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
97,"song of stupidity","dumb",6,"This song causes your foe to become dumber!",,1,8508,32,0,8,-5,-5,3,2,3,8,40,4,0,4,0,30,0,0,0,0,1,1,0,0,44,-5,52,0,115,8554,122,45,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
98,"song of weakness","weak",7,"This song drowses your foe and weakens their","muscles.",1,8510,32,0,10,-5,-5,3,2,0,8,40,4,0,4,0,30,0,0,0,0,1,1,0,0,46,0,52,0,115,8555,122,47,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
99,"song of clumsiness","clum",8,"This song causes your doe to become clumsy and","less agile!",1,8512,32,0,8,-5,-5,3,2,-4,8,40,4,0,4,0,30,0,0,0,0,1,1,0,0,48,0,52,0,115,8556,122,48,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
100,"song of traveling","trav",9,"This song bolsters your party so they can carry","more items and equipment.",1,8513,32,0,15,20,20,3,1,-7,13,80,4,0,4,0,40,2,1,0,0,2,1,0,0,96,0,115,8557,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
101,"song of draining","dran",11,"This song siphons your foe's life force.",,0,8515,32,1000,8,4,16,0,2,-10,8,0,4,0,4,0,28,7,1,4,1,0,0,0,0,8,0,52,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
102,"song of blasting","blas",10,"This song blasts the ears of your foe, doing","damage!",0,8516,32,1000,4,6,21,0,0,-15,8,0,4,0,4,0,20,3,2,3,1,0,0,0,0,1,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
103,"way of the boar","boar",7,"You invoke the raging boar to do more damage, but","become more susceptible!",0,8517,32,0,4,15,15,3,0,0,1,20,4,0,5,0,30,0,0,0,0,3,4,0,0,106,0,2,-5,115,8558,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
104,"way of the dragon","drgn",8,"You strike your foe with the furious flame of a","dragon!",0,8518,32,1000,3,13,14,0,0,0,8,0,1,0,5,0,32,1,1,0,0,0,0,0,0,1,0,144,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
