"number","part","linkTo","data"
12,0,0,"The crippled adventurer says ""There are horrid creatures in that lair of 
death,  foul mutations and undead, all manner of evil beasts.  They are 
absolutely merciless, and kill and maim for the sheer pleasure of it.""
Ƚ'7532"
13,0,0,"The crippled adventurer says ""Since the gods spared my meager life, and have
taught me humility, I have dedicated the rest of my life to creating a shrine
for this holy place.  They provide me with nourishment, and prevent any
creature from harming me.  In return, I pray hourly to their great wisdom and
compassion, and I carve images on these walls to illustrate their glory.
Though I have but one arm, and a single eye, I once fancied myself a decent
stonesmith and am putting to use my last remaining gift in creating these
carvings.  Progress is slow, and tedious, but it is now my life's work and I
am very much dedicated to it.  Not that I would be suited for anything else.
You can see one image that I have finished upon the wall there.  It is rough,
but it is my first, and I am sure I will improve with time.  Time is all I
have.""

Ƚ'7532"
14,0,0,"The crippled adventurer says ""My memory is too clouded to pick out anything
specific right now.  Perhaps if you find something, and refresh my memory, I
could better remember what I had found out.""
Ƚ'7532"
15,0,0,"The crippled adventurer says ""I cannot clearly remember what riddles there
were... though I know I encountered at least one which was necessary to
complete so that I could advance in the maze.""
Ƚ'7532"
16,0,0,"The crippled adventurer says ""Ahh, now that rings a bell...  what was it 
again... ""  He pauses for a minute, his brow furrowed and a look of deep
concentration on his face.  Suddenly he exclaims ""NOW I remember... there are
symbols there, which you must manipulate in the correct order to open a 
concealed passageway... a sun, moon, and star, am I correct?  Let's see...
first of all, you must twist the sun symbol...""  He pauses again, this time
with a look of confusion.  ""You must twist the sun symbol... but I cannot 
remember which way.  The memory has indeed faded...  The only other thing I
can recall is that the star is the last thing which you must manipulate.""
Ƚ'7532"
17,0,18,"axes:19
Ƚ'7532"
18,0,0,"Thuluk looks you over and smiles through his broad beard, ""You look like one
who would be very worthy of one of my fine axes, and Thuluk's are the 
finest in all of Silvermere. Please do not hesitate to look around, Thuluk 
may even give you a special price.""  He grins and strokes his beard over that 
last statement.
Ƚ'7532"
19,0,0,"""Yes, axes. None of these swords or bows that the you usually see in the
Realm. No wonder the orcs are taking over, they have nothing to be frightened
about. But if old Thuluk went out and chopped a few up with his 'Cleaver', 
I'm sure these orcs would think twice about messing with Silvermere. I mean,
can a sword cut down a tree? You need an axe to get the job done, and an orc
cut in two is a job done right."" From the way this guy talks about himself in
third person, you realize that it probably wouldn't be a good idea to cross
him. Maybe an axe is a good choice in weaponry, even if it is just to please
old Thuluk.
Ƚ'7532"
20,0,0,"A look of great horror comes over the crippled adventurer's face.  He
exclaims ""That hideous abomination devoured a party I was trailing, right
before my eyes!  I was following them at a distance, hoping to find some
secret I did not know, when it appeared from around a corner!  All five of 
them fought valiantly, but apparently their attacks had no effect, as both
sword blows and magical fire did not slow it down.  It consumed them all,
leaving not even a stain on the ground!""  He shudders, and bows his head
in thought.
Ƚ'7532"
21,0,22,"shit:80
Ƚ'7532"
22,0,0,"The %s squeaks loudly and snaps at you!
Ƚ'7532"
23,0,24,"shit:80
Ƚ'7532"
24,0,0,"The %s hisses at the sound of your voice!
Ƚ'7532"
25,0,26,"shit:80
Ƚ'7532"
26,0,0,"The %s waves its feelers about searchingly.
Ƚ'7532"
27,0,28,"shit:80
Ƚ'7532"
28,0,0,"The %s growls at you menacingly!
Ƚ'7532"
29,0,30,"shit:80
Ƚ'7532"
30,0,0,"The %s gurgles and bubbles.
Ƚ'7532"
31,0,32,"shit:80
Ƚ'7532"
32,0,0,"The %s grins evilly at you, and eyes your purse!
Ƚ'7532"
33,0,34,"shit:80
Ƚ'7532"
34,0,0,"You get a chill of disquiet from the %s's unnatural silence.
Ƚ'7532"
35,0,36,"shit:80
Ƚ'7532"
36,0,0,"The %s draws his blade and shouts, ""HALT scum!""
Ƚ'7532"
37,0,38,"shit:80
Ƚ'7532"
38,0,0,"The %s looks you up and down contemptuously, and
draws his weapon with unsettling ease.
Ƚ'7532"
39,0,40,"shit:80
Ƚ'7532"
40,0,0,"The %s eyes you warily, keeping his blade pointed towards you.
Ƚ'7532"
41,0,42,"shit:80
Ƚ'7532"
42,0,0,"The %s grins stupidly and roars, ""You weak, me STRONG!""
Ƚ'7532"
43,0,44,"shit:80
Ƚ'7532"
44,0,0,"The %s screams, ""Glory to the Blood God!""
Ƚ'7532"
45,0,46,"shit:80
Ƚ'7532"
46,0,0,"The %s scuttles towards you, chittering madly!
Ƚ'7532"
47,0,48,"shit:80
Ƚ'7532"
48,0,0,"The %s's wrappings rustle quietly as it reaches for you!
Ƚ'7532"
50,0,51,"father:52
Thrag:53
Ƚ'7532"
51,0,0,"A young tan skinned boy excitingly smiles at you and says ""Hello. How
may I help you? We sell lots of useful things that I am sure would prove
useful to you! Although, if it's my father you are looking for, he is in the
room to the east."" As you glance eastwards you notice him eyeing your purse.
You laugh and wonder if this kid will be as big a scoundrel as his father is
when he grows older.Ƚ'7532"
52,0,0,"Giovanni smiles, ""Yes, my father. He is the greatest Gypsy in all the land, 
and believe me, he has seen it all. Once he stole the gold fillings right out
of Thrag's mouth without him waking up!"" You notice him staring your purse
down again after this last statement. Like father like son.
Ƚ'7532"
53,0,0,"""Thrag is that big giant that lives in the forest to the east. Darkwood I 
think it's called? He's a nasty sort, but no match for my dad! If you ever
meet up with him, ask him about his teeth. Hee hee!""
Ƚ'7532"
55,0,56,"shit:80
Ƚ'7532"
56,0,0,"Lady Sentara brushes her hair back hastily and smiles, ""I'm sorry but I am
very busy right now. Perhaps you can come back at a better time?"" She flashes 
you a quick grin and goes back to her work.
Ƚ'7532"
58,0,59,"healing:152
minor healing:153
major healing:154
greater healing:155
cure poison:156
cure disease:157
remove curse:158
Ƚ'7532"
59,0,0,"The healer bows humbly and smiles, ""Greetings, friend. For a modest fee, I
can heal your wounds, detoxify any poisons in your system, cure you of
disease, or remove any form of curse you may have. Simply look at the sign,
and BUY whatever curative spell you desire.""
Ƚ'7532"
61,0,62,"shit:80
Ƚ'7532"
62,0,0,"The large man greets you calmly and says, ""I carry many fine blades in my 
store. Feel free to look around as you see fit.""
Ƚ'7532"
65,0,66,"shit:80
Ƚ'7532"
66,0,0,"The young man yawns, ""Oh, hello, I barely saw you enter. We carry a fair 
selection of basic magic scrolls and items, but my master keeps all the good
stuff to herself."" The man frowns, ""As a matter of fact she was just working
on a new enchantment, but NOOOO, Aiken can't be part of it. Hmph!""
Ƚ'7532"
67,0,68,"shit:80
Ƚ'7532"
68,0,0,"The shopkeeper says, ""Welcome, friend. It is always a refreshing sight to see
another adventurer beginning his career! Please have a look at my fine
selection of weaponry, although if you are anything like the average 
newcomer, you are no doubt flat broke. In that case, I have simple wooden
quarterstaves for use until you acquire enough money to buy a fine steel
weapon. Just take a look at my STOCK and pick something you like!""
Ƚ'7532"
69,0,70,"shit:80
Ƚ'7532"
70,0,0,"The shopkeeper exclaims in a booming voice ""Hello, my young friend! Come to 
test your mettle in becoming an adventurer, eh? Well, good luck to you! You
will surely need some form of protection while you hone your skills, and I
have all you need right here! I even have some free armour items for those 
who don't have the money to spend, just take a look at my STOCK and pick
something your size!""
Ƚ'7532"
71,0,72,"shit:80
Ƚ'7532"
72,0,0,"The long-haired man says ""Greetings, o dusty one. What wearisome travels
have brought you this far inland?"" He grins slightly, saying ""Perhaps you
got lost in the dark, and wandered here by accident! In that case, you might
find some use in purchasing one of my lovely lamps, or, if money is a little
tight, I could afford to give you some torches for free.""
Ƚ'7532"
73,0,74,"shit:80
Ƚ'7532"
74,0,0,"The old man grins toothlessly at you, saying ""Eh? What was that? You said 
something? Well, it doesn't matter anyway, if ye be looking for spells of 
some sort, this is the place. Browse through that pile of scrolls yerself and 
bring me what you like, my poor tired eyes won't stand the strain."" You have
some trouble believing that last statement, for you note that he turns his
attentions back to a large book in his lap as he finishes talking to you. No
doubt he is simply exercising the privileges of old age in letting the young
ones do all the work.
Ƚ'7532"
75,0,76,"shit:80
Ƚ'7532"
76,0,0,"The formidable-looking man says, ""Greetings, journeyman. If thou seekest
training in arts martial or magical, I be he who shall instruct thee. If thou
needst advancement in other skills, such as hunting or stealth, I have 
considerable ability in those areas as well. For a modest fee I will aid thee
to hone thy skills, simply BUY TRAINING from me and we shall get to work.""
Ƚ'7532"
77,0,78,"borrow:79
skiff:79
boat:79
ferry:79
silvermere:79
Ƚ'7532"
78,0,0,"The ferryman looks up at you with a look of suppressed annoyance, and says,
""Well, what do ye be standing around here for? If ye want to BORROW one of me
skiffs to get to Silvermere, then do so, but this is my day off, so help
yourself and leave me to my fishing.""
Ƚ'7532"
79,0,0,"The ferryman says, ""Did ye not hear me the first time? BORROW SKIFF if ye
wish, Silvermere is a short way down the river. You seem young and strong, so
you should have no problem with the current."" He snickers. ""Now let me to my
fishing, I haven't got all day!""
Ƚ'7532"
80,0,0,"What a foul mouth!
Ƚ'7532"
81,0,82,"shit:80
Ƚ'7532"
82,0,0,"The %s greets you with a bow, saying ""Welcome young one. Thy 
travels have brought thee far, to find me in this cursed tomb where I am 
bound. The dark one was cruel indeed to keep my spirit in this plane after we 
were vanquished, but even in defeat there can be hope. I have little left to 
offer, save my experiences fighting the unnamed one. My skill is thine to 
learn from, and I would gladly train thee to the next level of advancement. 
One more thing can I offer you: seek the old one in the heart of the 
darkenwood, he alone lived through the Great Wars, and he alone has mastery 
enough to provide thee with the necessary learning you shall surely need in 
the future.""
Ƚ'7532"
83,0,84,"shit:80
Ƚ'7532"
84,0,0,"The young girl smiles at you, saying ""Thank you, brave one. I would surely
have been slain had you not arrived in time. You have earned the right to
proceed further. Turn the right candle to your left, and the path shall be
revealed to you.""
Ƚ'7532"
85,0,86,"training:87
silvermere:88
buy training:87
test:2951
heads:9034
return:2941Ƚ'7532"
86,0,0,"Aldreth says ""Well. It has been long since anyone has dared venture past the
warding borders of the clearing."" He looks you up and down appraisingly.
""Well, I have little to offer thee if thy intentions are sound, and, if they
are not,"" here he gets a wild gleam in his eye, and shifts slightly where he
sits, ""then I will gladly show thee the door. Though I doubt it will come to
that, only a fool would cross me. Do ye have need of teaching? For small fee,
I would impart my knowledge to you, simply BUY TRAINING. I can
always do with a few gold coins in my purse to purchase trinkets from
SILVERMERE."" Then he adds, ""If thou wishes to TEST thy might I can offer
thee a combat trick known only to warriors of legend.""Ƚ'7532"
87,0,0,"Aldreth says ""Yes, yes, I have learned many things during the trial that is 
my life, and t'would be a simple thing for me to aid thee in thy
advancement. However, I am not almighty, and at a point t'would be possible
for thee to surpass me in skill. If this be the case, I have heard of an
ancient being who lives high upon the crags upon yon mountain -- perhaps if
asked of training, he could aid thee.""
Ƚ'7532"
88,0,0,"Aldreth says ""Ahh, now once in times long past that name brought men flocking
to Silvermere's banners... ahh, the times of glory before the Great War were
indeed unparalleled... but enough of that. That is long done, and over with.""
Ƚ'7532"
89,0,0,"Aldreth says ""I have plenty of magical scrolls to satisfy the needs of power-
hungry spellcasters. They are no use to me, and I have collected quite an 
impressive collection, I must say.""
Ƚ'7532"
90,0,91,"shit:80
Ƚ'7532"
91,0,0,"The %s growls at you menacingly, a wisp of smoke trailing
from its mouth.
Ƚ'7532"
92,0,93,"shit:80
Ƚ'7532"
93,0,0,"The %s grins savagely at you, exposing shiny pointed teeth.
Ƚ'7532"
94,0,95,"shit:80
Ƚ'7532"
95,0,0,"The %s gurgles wetly, venom dripping from its serrated beak.
Ƚ'7532"
96,0,97,"shit:80
Ƚ'7532"
97,0,0,"The %s looks up at you hopelessly, then continues on its way.
Ƚ'7532"
98,0,99,"shit:80
Ƚ'7532"
99,0,0,"The %s leers at you cruelly, and brandishes his weapon.
Ƚ'7532"
100,0,101,"shit:80
Ƚ'7532"
101,0,0,"The %s grunts loudly, hefting its massive maul threateningly.
Ƚ'7532"
102,0,103,"treasure:104
secret:104
teeth:105
barricade:106
blockade:106
wall:106
Ƚ'7532"
103,0,0,"Thrag peers at you from beneath shaggy eyebrows. His fetid breath is nearly
overwhelming as he bellows, ""Puny creature, out of my cave! Thrag crush you
to jelly like ant! You not get my treasure, NEVER GET THRAG'S TREASURE!"" He
swings his huge club easily and advances!
Ƚ'7532"
104,0,0,"Thrag licks his lips nervously and glances nervously towards his table. He
screams, ""NEVER GET THRAG'S TREASURE!""
Ƚ'7532"
105,0,0,"Thrag puts a hand up to his mouth and probes a gaping hole where a tooth once
was. He bellows, ""Puny human trick Thrag, make Thrag trip and break tooth! 
Thrag not be tricked again!""
Ƚ'7532"
106,0,0,"Thrag grins slyly, and says, ""Thrag clever, Thrag strong, block human road
with huge trees puny humans cannot lift. Thrag gather army to crush humans, 
humans get no help from friends, Thrag make sure of that!""
Ƚ'7532"
107,0,108,"shit:80
Ƚ'7532"
108,0,0,"The %s grins toothily and growls, ""Fresh meat for dinner, me feed well 
tonight!"" He swings his heavy axe as if it were a hatchet, and advances
with the glint of murder in his eyes!
Ƚ'7532"
109,0,110,"shit:80
Ƚ'7532"
110,0,0,"The %s turns its sightless face towards you, and opens its mouth in a silent
howl!
Ƚ'7532"
111,0,112,"shit:80
Ƚ'7532"
112,0,0,"The %s turns its eyeless sockets towards you, and advances with cold 
precision.
Ƚ'7532"
113,0,114,"shit:80
Ƚ'7532"
114,0,0,"The %s utters a heart-stopping wail, and reaches for you!
Ƚ'7532"
115,0,116,"shit:80
Ƚ'7532"
116,0,0,"The %s snaps at you viciously!
Ƚ'7532"
117,0,118,"shit:80
Ƚ'7532"
118,0,0,"The %s squeaks loudly and flaps towards you!
Ƚ'7532"
119,0,120,"gullable:9261
gullible:9261
Ƚ'7532"
120,0,0,"The %s roars in fury!
Ƚ'7532"
121,0,122,"shit:80
Ƚ'7532"
122,0,0,"The %s's flames seem to mock you with a thousand crackling voices!
Ƚ'7532"
123,0,124,"law:125
silvermere:125
Ƚ'7532"
124,0,0,"The guardsman looks you up and down, and says in a firm voice, ""Greetings, 
citizen. Obey the laws of Silvermere and I shall have no quarrel with thee. 
Go in peace.""
Ƚ'7532"
125,0,0,"The guardsman says, ""The laws of Silvermere are simple. Keep thy weapon 
sheathed. If thou hast a quarrel with a citizen, then thou mayst take it to 
the arena. Refrain from offensive and descructive magics. Act with some basic 
respect towards thy neighbours. Do not rob, or steal. Breaking the laws may 
result in thy incarceration, or death.""
Ƚ'7532"
126,0,127,"blunt:128
weapons:128
mace:128
Ƚ'7532"
127,0,0,"%s looks you up and down, and greets you with a warm smile. He says, ""Welcome
to mine humble store, adventurer.  In these dangerous times, it is wise to
go armed.  I have many weapons for those whose faith prohibits the use of
bladed arms, or for those to whom bloodshed is unseemly.  My stock is filled
with blunt weapons of every size and description, suited for use by the
mildest priest, to the brawniest warrior.  Please, look over my fine
inventory, I am sure thou wouldst find something to thy liking.""  He waves a
calloused hand over his broad case of weapons.
Ƚ'7532"
128,0,0,"%s says, ""My weapons are crafted from the finest iron and steel, with hafts
of ironwood. They are guaranteed not to last through many a battle, and their
price is extremely reasonable.""
Ƚ'7532"
129,0,130,"shit:80
Ƚ'7532"
130,0,0,"%s does not look up from the forge he is slaving over.  He mutters, ""If ye
have business here, quickly state it, I do not have time for idle chitchat. 
My armour is the best there is, and ye will find no better price for it."" 
Despite his sullen tone, his craftwork seems to be of high quality 
workmanship.
Ƚ'7532"
131,0,132,"shit:80
Ƚ'7532"
132,0,0,"%s's jowls flap as he breaks into a wide grin.  He bellows, ""Welcome to this
humble store, adventurer!  Our steelware is the finest in all of Silvermere,
and you will find no better price!""  He gives you a sly wink and says, ""Of
course, it helps to have cornered the market, if you catch my meaning.  
Please, feel free to browse through our fine collection of armour!"" He waves
his hands about expansively, gesturing towards the racks and display cases
filled with shining steel wares.
Ƚ'7532"
133,0,134,"shit:80
Ƚ'7532"
135,0,136,"zagrat:80
Ƚ'7532"
136,0,0,"The %s rustles at you quietly.
Ƚ'7532"
137,0,0,"go hole:nomonsters 266:message 267:teleport 2126 1
Ƚ'7532"
138,0,139,"zagrat:80
Ƚ'7532"
139,0,0,"The %s reaches for you soundlessly!
Ƚ'7532"
140,0,141,"high druid:142
druid:142
forest:143
darkwood forest:143
ring:144
darkwood ring:144
Ƚ'7532"
141,0,0,"The dark druid laughs mercilessly, and says, ""You will make a fine sacrifice 
to our lord, the High Druid.""
Ƚ'7532"
142,0,0,"The dark druid sneers at you, saying, ""Your pathetic toys and tricks are no 
match for the power of our Master. He will cut you down like wheat, and 
sacrifice your steaming innards to the elemental forces. The High Druid of 
Darkwood fears no one!""
Ƚ'7532"
143,0,0,"The dark druid laughs coldly, and says, ""It is a fine wood, is it not? The 
Darkwood trees have served us magnificently, providing us with great power. 
Their life force is strong, and bound to our will we shape them as we 
choose.""
Ƚ'7532"
144,0,0,"The dark druid eyes you coldly, saying, ""It is none of your affair.""
Ƚ'7532"
145,0,146,"sickle:147
golden sickle:147
altar:148
Ƚ'7532"
146,0,0,"The high druid laughs heartily, exclaiming, ""Save your breath, fools, as it 
will surely be your last. My golden sickle will gut you, and my arcane spells 
will scorch your flesh and rot your body! Your blood and entrails will be a 
fitting sacrifice to the powerful forces of the elements!""
Ƚ'7532"
147,0,0,"The high druid hefts his glimmering sickle, saying, ""Render is a fine weapon 
indeed, and has tasted the sweet blood of countless sacrifices. You too, 
shall feel its hungry bite.""
Ƚ'7532"
148,0,0,"The high druid laughs, ""Yes, the altar, your final resting place. A fitting 
one for scum such as you. Your blood shall flow in rivers down its surface, 
and you will beg for a swift death.""
Ƚ'7532"
149,0,150,"slaves:151
Ƚ'7532"
150,0,0,"The slave-master bellows, ""Welcome to my kingdom, puny one! Your presence is
not required, leave or perish under the lash of my scourge!""
Ƚ'7532"
151,0,0,"The slave-master laughs, ""Yes, these pathetic fools are not quite worthy
subjects, but they serve my every whim.""
Ƚ'7532"
152,0,0,"[0;32mThe %s says, ""You may BUY the following services: [0;1;32mMinor Healing[0;32m, [0;1;32mMajor
Healing[0;32m, [0;1;32mGreater Healing[0;32m, [0;1;32mCure Poison[0;32m, [0;1;32mCure Disease[0;32m, or [0;1;32mRemove Curse[0;32m.""
Ƚ'7532"
153,0,0,"[0;32mThe %s says, ""Simply [1mbuy minor healing[0;32m, and I shall heal your wounds.""
Ƚ'7532"
154,0,0,"[0;32mThe %s says, ""Simply [1mbuy major healing[0;32m, and I shall heal your wounds.""
Ƚ'7532"
155,0,0,"[0;32mThe %s says, ""Simply [1mbuy greater healing[0;32m, and I shall heal your wounds.""
Ƚ'7532"
156,0,0,"[0;32mThe %s says, ""Simply [1mbuy cure poison[0;32m, and I shall remove the poison from
your body.""
Ƚ'7532"
157,0,0,"[0;32mThe %s says, ""Simply [1mbuy cure disease[0;32m, and I shall cure all the diseases
afflicting you.""
Ƚ'7532"
158,0,0,"[0;32mThe %s says, ""Simply [1mbuy remove curse[0;32m, and I shall suspend the 
enchantment on any cursed items you have, allowing you to remove them.""
Ƚ'7532"
159,0,0,"buy minor healing:monsters:price 50 318:cast 219:adddelay 5
buy mihe:monsters:price 50 318:cast 219:adddelay 5
buy major healing:monsters:price 120 318:cast 220:adddelay 5
buy mahe:monsters:price 120 318:cast 220:adddelay 3
buy greater healing:monsters:price 200 318:cast 221:adddelay 5
buy grhl:monsters:price 200 318:cast 221:adddelay 5
buy cure poison:monsters:price 1000 318:cast 222:adddelay 5
buy cure:monsters:price 1000 318:cast 222:adddelay 5
buy cure disease:monsters:price 2500 318:cast 223:adddelay 5
buy cdes:monsters:price 2500 318:cast 223:adddelay 5
buy remove curse:monsters:price 5000 318:cast 224:adddelay 5
buy rcrs:monsters:price 5000 318:cast 224:adddelay 5
Ƚ'7532"
160,0,161,"healing:152
minor healing:153
major healing:154
greater healing:155
cure poison:156
cure disease:157
remove curse:158
Ƚ'7532"
161,0,0,"The shadowy healer hisses softly, ""Welcome, adventurer. For a reasonable fee,
I can heal your wounds, cure your body of poison or disease, or remove a 
curse. What is your need? Ask me about HEALING for more information.""
Ƚ'7532"
162,0,0,"The shadowy healer says, ""Simply BUY MINOR HEALING, and I shall heal your
wounds.  This will cost you 15 silver nobles.""
Ƚ'7532"
163,0,0,"The shadowy healer says, ""Simply BUY MAJOR HEALING, and I shall heal your
wounds.  This will cost you 35 silver nobles.""
Ƚ'7532"
164,0,0,"The shadowy healer says, ""Simply BUY GREATER HEALING, and I shall heal your
wounds.  This will cost you 6 gold crowns.""
Ƚ'7532"
165,0,0,"The shadowy healer says, ""Simply BUY CURE POISON, and I shall remove all
poisons in your body.  This will cost you 30 gold crowns.""
Ƚ'7532"
166,0,0,"The shadowy healer says, ""Simply BUY CURE DISEASE, and I shall remove all
diseases afflicting you.  This will cost you 75 gold crowns.""
Ƚ'7532"
167,0,0,"The shadowy healer says, ""Simply BUY REMOVE CURSE, and I shall suspend the
enchantment on any cursed items in your inventory.  This will cost you 150
gold crowns.""
Ƚ'7532"
168,0,0,"buy minor healing:monsters:price 150 318:cast 219
buy mihe:monsters:price 150 318:cast 219
buy major healing:monsters:price 350 318:cast 220
buy mahe:monsters:price 350 318:cast 220
buy greater healing:monsters:price 600 318:cast 221
buy grhl:monsters:price 600 318:cast 221
buy cure poison:monsters:price 3000 318:cast 222
buy cure:monsters:price 3000 318:cast 222
buy cure disease:monsters:price 7500 318:cast 223
buy cdes:monsters:price 7500 318:cast 223
buy remove curse:monsters:price 15000 318:cast 224
buy rcrs:monsters:price 15000 318:cast 224
Ƚ'7532"
169,0,170,"heh:80
Ƚ'7532"
170,0,0,"The mad wizard looks at you and shouts, ""GET OUT! You're disturbing my 
experiments! GET OUT!""
Ƚ'7532"
171,0,0,"pull switch:message 334:cast 230
Ƚ'7532"
172,0,173,"gaal:360
quest:360
grey lord:360
transport:363
portal:363
teleport:363
ask:4158
hide:4158
price:4159
tunic:4160
gauntlets:4162
leggings:4164
helm:4166
boots:4168

Ƚ'7532"
173,0,0,"The strange, four-armed creature speaks in a soft voice, ""Welcome, friends,
to my wondrous tower. I have many exotic items for sale; in the floors above
you will discover arcane weapons, mystical talismans, and magical armour from
all corners of the land! Feel free to browse through my extensive displays, or
if you feel inclined, ask about my hide collection.""
Ƚ'7532"
174,0,175,"yada:80

Ƚ'7532"
175,0,0,"The %s glares at you fiercely and lets out a fearsome roar!
Ƚ'7532"
176,0,0,"The shadowy healer says, ""You may BUY the following services: Minor Healing,
Major Healing, Greater Healing, Cure Poison, Cure Disease, or Remove Curse.""
Ƚ'7532"
177,0,178,"dragon:179
help:180
hope:9020
agree:9021
reward:9025
ready:9028
return:9050
spider silk:4442	
silk:4442	
cyclops eye:4443 
eye:4443 
greater dragon scale:4444 
dragon scale:4444
scale:4444
greater hellhound hide:4445	
hide:4445

Ƚ'7532"
178,0,0,"The man introduces himself, saying, ""Greeting, traveler. You have found the
prison of the Archmage Dhelvanen. And prison it is, although its appearance
says otherwise... I cannot leave these chambers. Despite all the powers at my
command, I am trapped here, helpless."" He clenches his fist, and furrows his
brow in frustration. Letting out a small sigh, he continues, ""A long while
ago, when I was younger and more foolish, I felt my power was so great that I
could accomplish anything. However, this was not enough. My lust for power
was so great, my obsession so powerful, that my every waking moment was spent
in the search for even greater power. In my travels I discovered an ancient
document revealing a method to increasing the strength of my spells by
enough to make me so incredibly strong in the arts of magic that an entire
army would wither before my assault. Visons of glory and mastery of lands
passed through my mind, and immediately I set out to find the material
components needed in the ritual. The main component was the scale of a
powerful, aged dragon."" He coughs slightly, and shakes his head as if coming
out of a dream. He looks you over, saying, ""I am sorry, I tend to ramble on,
having company so incredibly rarely has corroded my social skills. If you
wish me to continue, ask me about the DRAGON. Also, new information I have
found by scrying other worlds has given me HOPE of escaping my prison here.
I would ask your help if you are willing to give it.""
Ƚ'7532"
179,0,0,"Dhelvanen says, ""Yes, the dragon. What a fool I was for believing myself
powerful. Compared to her, I was a child. What dragon you may ask? Well, my
travels through the lands led me to these very caverns. Having researched
various rumours concerning the whereabouts of powerful dragons, and having
conducted arcane searches, I found that one old she-dragon laired deep within
these caves, far to the east, in a lava flow. Upon finding her lair, I cast a
powerful spell of concealing, and slipped by her deadly brood unnoticed. As I
entered the vast cavern within which she dwelled, I found her waiting for me.
What incredible stupidity to have thought I was a match for her. She saw
through my spell as if it were nothing more than a feeble child's cantrip. In
desperation I threw bolts of energy, to distract or wound her, but she
shrugged them off. With one gutteral word she froze me in my tracks, and then
proceeded to devise ways to make me pay for my arrogance, telling me these in
an amused tone."" He pauses a moment, and then continues, ""Well, to make a
long story short, she created these chambers, let me take some things from my
home, and then sealed them off from normal space with her magics. I am unable
to leave these rooms. I do not age while I am here, nor can I die. My only
comforts are in my books, weaving tapestries, scrying the outside world with
my powers, and devising some method of revenge."" He eyes you up and down, and
says, ""In fact... perhaps you could be of some HELP with the dragon.""
Ƚ'7532"
