"Number","Name","Game Limit","Desc1","Desc2","Desc3","Desc4","Desc5","Desc6","Weight","Type","Uses","Cost","Cost Type","Min Hit","Max Hit","AC","DR","Weapon","Armour","Worn On","Accuracy","Gettable","Req Str","Speed","Robable","Hit Msg","Miss Msg","Read Msg","Distruct Msg","Not Droppable","Destroy On Death","Retain After Uses","OpenRunic","OpenPlatinum","OpenGold","OpenSilver","OpenCopper","Class 0","Class 1","Class 2","Class 3","Class 4","Class 5","Class 6","Class 7","Class 8","Class 9","Race 0","Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7","Race 8","Race 9","Negate 0","Negate 1","Negate 2","Negate 3","Negate 4","Negate 5","Negate 6","Negate 7","Negate 8","Negate 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9","Ability 10","Ability Value 10","Ability 11","Ability Value 11","Ability 12","Ability Value 12","Ability 13","Ability Value 13","Ability 14","Ability Value 14","Ability 15","Ability Value 15","Ability 16","Ability Value 16","Ability 17","Ability Value 17","Ability 18","Ability Value 18","Ability 19","Ability Value 19"
20,"cloth pants",0,"This is a pair of simple cloth leggings, with a leather belt","to cinch them up. They are light and unrestrictive, but do","not provide much in the way of defense.",,,,20,0,-1,3,1,0,0,10,0,0,1,9,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"leather pants",0,"This is a pair of soft leather pants. They are comfortable","and flexible but are not too heavy, and provide decent","defense.",,,,60,0,-1,1,2,0,0,20,2,0,3,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"rigid leather pants",0,"This is a pair of soft leather pants with rigid leather","plates sewn onto them for protection. They are only slightly","bulky, and provide fairly good protection.",,,,90,0,-1,2,2,0,0,30,3,0,5,9,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"chainmail leggings",0,"These leggings are made of a simple pair of cloth pants,","with linked chain-mail overtop. They provide good protection","in combat, but make some noise due to the noise they make.",,,,160,0,-1,6,2,0,0,50,5,0,7,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-3,34,-2,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"scalemail leggings",0,"This is a pair of leather pants with iron discs sewn onto","them as protection. They are a little heavy, but give better","protection than chainmail does.",,,,250,0,-1,8,2,0,0,70,7,0,8,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-3,34,-3,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"brigandine leggings",0,"This is a pair of leather pants with iron bands sewn around","them. They provide great protection, but are heavy, and make","considerable noise due to the clanking of the overlapping","bands.",,,400,0,-1,15,2,0,0,60,15,0,9,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-3,34,-4,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"light plate leggings",0,"This a pair of steel plate leggings, with heavy leather","underneath and at the joints. They are quite heavy, and make","tremendous noise, but are invaluable for their defensive","potential.",,,550,0,-1,50,2,0,0,80,20,0,9,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,34,-5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"full plate leggings",0,"This is pair of heavy plate greaves, with chainmail","underneath and at the joints. They are extremely heavy and","noisy, but provide excellent protection.",,,,650,0,-1,75,2,0,0,95,20,0,9,9,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,34,-7,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"small sign",0,"FILE DESCRIPTION","SILVRMRE.TXT",,,,,9999,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"skullcap",0,"This is an extremely thin skullcap of steel, designed to be","worn over the crown of the head. It provides a little","defense.",,,,50,0,-1,3,2,0,0,20,0,0,1,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"soft leather cap",0,"This is a leather helm with ear and nose-guards. It is light","and flexible, and provides decent protection.",,,,,50,0,-1,8,1,0,0,20,2,0,3,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"hard leather helm",0,"This is a rigid leather helm studded with iron rivets. It is","much heavier than a regular leather helm, but the iron studs","deflect blows.",,,,90,0,-1,2,2,0,0,30,3,0,6,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"chain coif",0,"This is a snugly-fitting chainmail hood, covering head and","neck. It is strong and durable, and fairly light.",,,,,160,0,-1,5,2,0,0,45,8,0,7,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"pot-helm",0,"This is an iron helm with noseguard and leather neck-guard.","It is the helm of choice for most guardsmen and warriors, as","it is not too heavy, but protects well.",,,,250,0,-1,8,2,0,0,60,10,0,8,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"horned helmet",0,"This is a solid iron helm, neck-length and horned. Its","massive horns curl upwards, like a bull's. It is heavy, but","is strong and protects well.",,,,325,0,-1,25,2,0,0,75,15,0,9,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"visored greathelm",0,"This is a massive steel helm, offering full protection from","attacks. Vision is limited to sight through the narrow","eyeslits.",,,,500,0,-1,65,2,0,0,85,20,0,9,2,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-10,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"cotton gloves",0,"This is a pair of light cotton gloves, offering little","protection save from the cold.",,,,,20,0,-1,2,1,0,0,10,0,0,1,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"suede gloves",0,"This is a pair of simple suede gloves. They are soft and","warm, but are not very protective.",,,,,20,0,-1,3,1,0,0,10,1,0,2,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"leather gloves",0,"This is a pair of soft leather gloves. They are longer than","most gloves, coming up to the mid-forearm, and give decent","protection versus attack.",,,,60,0,-1,5,1,0,0,20,2,0,3,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"hard leather gauntlets",0,"This is a pair of rigid leather gauntlets. They are long,","coming nearly up to the elbow, and give good defense. They","are the gauntlet of choice for most adventurers.",,,,90,0,-1,1,2,0,0,30,2,0,5,3,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"chain gauntlets",0,"This is a pair if elbow-length chain gauntlets, with cloth","underneath for comfort. They have a leather palm for better","weapon grip.",,,,160,0,-1,3,2,0,0,50,4,0,7,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"scale gauntlets",0,"This is a pair of soft leather gloves with coin-sized","iron discs sewn onto them. They are heavy, as far as gloves","go, and have leather palms for better weapon grip.",,,,250,0,-1,4,2,0,0,60,6,0,8,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"plate gauntlets",0,"This is a pair of steel plate gauntlets. They are heavy and","durable, and provide great protection. They have an open","leather palm for increased grip.",,,,325,0,-1,30,2,0,0,70,7,0,9,3,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"cloth shoes",0,"This is a pair of light canvas shoes, with coiled rope","soles. They are not suited for action of any kind.",,,,,20,0,-1,3,1,0,0,10,0,0,1,5,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"padded black boots",0,"This is a pair of padded black boots. They come up to mid-","shin and are quilted as to reduce noise. This is the","footwear of choice for stealth-minded adventurers.",,,,30,0,-1,50,2,0,0,10,1,0,2,5,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"ironwood shield",0,"Crafted from an ironwood tree, this shield is thick and","offers good deflection of attack. Hardened by magic, it is","lighter then metal, and a warmth pulses from its surface,","much like a heartbeat.",,,90,0,-1,1000,2,0,0,30,7,0,5,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,1,135,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"fist",0,,,,,,,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,338,8375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"hardened leather boots",0,"This is a pair of rigid leather boots. They come up to the","middle of the shin, and are tough and well-made. They give","good protection in combat.",,,,90,0,-1,2,2,0,0,30,2,0,5,5,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"chainmail boots",0,"This is a pair of rigid leather boots, covered in steel","chain links. The links have been muffled, but still make it","more difficult for a person to sneak, despite this they","offer good protection in combat.",,,150,0,-1,5,2,0,0,50,4,0,7,5,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-7,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"plate boots",0,"This is a pair of steel plate sollerets, lined with leather","on the inside for comfort. Despite this precaution, however,","they are not comfortable at all, although they provide great","defense against attack.",,,200,0,-1,50,2,0,0,65,15,0,9,5,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"travelers cloak",0,"This is a light leather cloak, suitable for the road. It","gives a little defense, and is good for protection against","the elements.",,,,100,0,-1,2,2,0,0,10,0,0,1,7,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"silk cape",0,"This is a long silken cape, embroidered with intertwining","designs about the hem. A small silver clasp holds it closed.",,,,,50,0,-1,10,2,0,0,10,0,0,1,7,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"greatcloak",0,"This is a massive animal skin cloak. It is thick and is","good protection, and provides great defense against the","weather, but is heavy and would get in the way of any","stealthy maneuvers.",,,250,0,-1,5,2,0,0,20,0,0,6,7,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-10,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
