"Number","Name","Group","Index","Weapon Number","AC","DR","Follow","MR","Experience","Hit Points","HP Regen","Energy","Game Limit","Charm LvL","Charm RES","BS Defense","Active","Type","Undead","Alignment","Gender","Regen Time","Date Killed","Time Killed","Runic","Platinum","Gold","Silver","Copper","Move Msg","Death Msg","Greet Txt","Desc Txt","Talk Txt","Death Spell","Create Spell","Desc 1","Desc 2","Desc 3","Desc 4","Attack Type 0","Attack Accu/Spell 0","Attack % 0","Attack Min Hit/Cast % 0","Attack Max Hit/Cast LVL 0","Attack Hit Msg 0","Attack Dodge Msg 0","Attack Miss Msg 0","Attack Energy 0","Attack Hit Spell 0","Spell Number 0","Spell Cast % 0","Spell Cast LVL 0","Attack Type 1","Attack Accu/Spell 1","Attack % 1","Attack Min Hit/Cast % 1","Attack Max Hit/Cast LVL 1","Attack Hit Msg 1","Attack Dodge Msg 1","Attack Miss Msg 1","Attack Energy 1","Attack Hit Spell 1","Spell Number 1","Spell Cast % 1","Spell Cast LVL 1","Attack Type 2","Attack Accu/Spell 2","Attack % 2","Attack Min Hit/Cast % 2","Attack Max Hit/Cast LVL 2","Attack Hit Msg 2","Attack Dodge Msg 2","Attack Miss Msg 2","Attack Energy 2","Attack Hit Spell 2","Spell Number 2","Spell Cast % 2","Spell Cast LVL 2","Attack Type 3","Attack Accu/Spell 3","Attack % 3","Attack Min Hit/Cast % 3","Attack Max Hit/Cast LVL 3","Attack Hit Msg 3","Attack Dodge Msg 3","Attack Miss Msg 3","Attack Energy 3","Attack Hit Spell 3","Spell Number 3","Spell Cast % 3","Spell Cast LVL 3","Attack Type 4","Attack Accu/Spell 4","Attack % 4","Attack Min Hit/Cast % 4","Attack Max Hit/Cast LVL 4","Attack Hit Msg 4","Attack Dodge Msg 4","Attack Miss Msg 4","Attack Energy 4","Attack Hit Spell 4","Spell Number 4","Spell Cast % 4","Spell Cast LVL 4","Item Number 0","Item Uses 0","Item Drop % 0","Item Number 1","Item Uses 1","Item Drop % 1","Item Number 2","Item Uses 2","Item Drop % 2","Item Number 3","Item Uses 3","Item Drop % 3","Item Number 4","Item Uses 4","Item Drop % 4","Item Number 5","Item Uses 5","Item Drop % 5","Item Number 6","Item Uses 6","Item Drop % 6","Item Number 7","Item Uses 7","Item Drop % 7","Item Number 8","Item Uses 8","Item Drop % 8","Item Number 9","Item Uses 9","Item Drop % 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
12,"zombie",7,2,0,5,3,30,42,70.00,62,6,1000,0,9,52,0,0,2,1,2,0,0,0,0,0,0,0,3,5,8246,8247,33,2002,0,0,0,"This is an animated, rotting corpse. It walks around listlessly, and","its eyeless face gives no hint of emotion. The necromantic magic that","has animated this creation has made it quite tough to slay, and it is","imbued with an unnatural strength.",1,35,100,4,14,8247,8311,8299,1000,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,3,100,5,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"guardsman",37,1,65,50,4,90,65,75.00,200,10,1000,0,30,100,25,0,0,0,4,1,0,0,0,0,0,2,15,40,8240,8241,123,2003,0,0,0,"This is a fierce-looking guardsman. He wields a drawn broadsword and","carries a round shield, and his well-polished chainmail armour gleams","in the light. Guardsmen are known to be excellent fighters, and are","more than a match for most lesser adversaries.",1,80,85,8,30,8241,8297,8310,1000,583,0,0,0,1,80,100,32,120,8464,8297,8310,1000,583,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,10,65,-1,10,59,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"guardsman",5,1,65,50,4,90,65,75.00,200,10,1000,70,30,100,25,0,0,0,4,1,0,0,0,0,0,2,15,40,8240,8241,123,2003,0,0,0,"This is a fierce-looking guardsman. He wields a drawn broadsword and","carries a round shield, and his well-polished chainmail armour gleams","in the light. Guardsmen are known to be excellent fighters, and are","more than a match for most lesser adversaries.",1,80,70,8,30,8241,8297,8310,1000,583,0,0,0,1,80,85,32,120,8464,8297,8310,1000,583,0,0,0,2,888,100,100,30,1,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,10,65,-1,10,59,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"shade",7,3,0,30,0,50,45,140.00,75,7,1000,0,11,56,20,0,0,1,2,0,0,0,0,0,0,0,0,0,8261,8262,33,0,0,0,0,"This is a shadowy spirit in the vague shape of a human, with glowing","red points of light where its eyes should be. It is hard to see, and","seems to fade in and out of existance.",,1,40,90,3,15,8262,8308,8301,1000,0,0,0,0,1,60,100,3,15,8262,8308,8301,1000,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,109,0,5,-100,3,100,0,0,0,0,0,0,0,0,0,0
16,"ghoul",7,3,0,10,1,50,43,100.00,73,7,1000,0,10,54,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8263,8264,33,2002,0,0,0,"This awful-looking creature appears to be a filthy, emaciated human -","until you see its glowing red eyes and sharp claws. Its frail","appearance belies powerful muscles, and it moves with surprising","grace.",1,55,75,3,9,8264,8308,8295,500,0,0,0,0,1,55,100,3,9,8264,8308,8295,500,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,109,0,5,-100,3,100,0,0,0,0,0,0,0,0,0,0,0,0
17,"wight",7,4,0,20,1,55,45,140.00,80,8,1000,0,11,56,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8265,8266,33,2002,0,0,0,"This revolting undead creation is a bent, misshapen humanoid with","glowing red points for eyes, and cruelly-hooked claws. Despite its","gaunt appearance, you can see it is powerfully muscled, and moves","with the confident speed of a cat.",1,55,50,2,10,8266,8308,8295,666,894,0,0,0,1,55,100,2,10,8266,8308,8295,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,109,0,5,-100,3,150,0,0,0,0,0,0,0,0,0,0,0,0
18,"orc sentry",6,8,72,15,1,55,40,35.00,46,4,1000,0,6,46,0,0,2,0,2,0,0,0,0,0,0,0,7,10,8267,8268,35,2000,0,0,0,"This leather-clad warrior has the unmistakeable features of an orc.","It wields a wickedly sharp scimitar, and stands with uncharacteristic","discipline for its race.",,1,50,80,2,12,8268,8297,8310,750,0,0,0,0,1,40,100,3,18,8439,8297,8310,1000,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"orc lieutenant",6,9,72,20,2,70,42,55.00,55,5,1000,0,8,50,10,0,1,0,2,1,0,0,0,0,0,0,10,30,8269,8270,37,2000,0,0,0,"This tall, ferocious-looking orc wears chainmail and wields a razor-","sharp scimitar, a sure sign of high rank. He is disciplined and holds","himself in such a manner as to indicate that he knows how to use his","weapon skilfully.",1,50,75,2,13,8270,8297,8310,666,0,0,0,0,1,55,100,3,19,8440,8297,8310,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,-1,1,1357,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"mercenary",6,8,64,15,1,30,40,35.00,46,4,1000,0,6,46,0,0,2,0,1,1,0,0,0,0,0,0,7,15,8271,8272,39,2000,0,0,0,"This leather-clad warrior has a decidedly shifty appearance. The","readied longsword he carries is notched and looks as if it has seen","much use. These mercenaries are sometimes nothing more than hired","thugs, and this particular one seems to fit right into that category.",1,50,100,3,12,8272,8297,8310,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"half-ogre bodyguard",6,9,103,25,2,30,44,120.00,60,6,1000,0,7,50,0,0,2,0,2,1,0,0,0,0,0,0,9,40,8273,8274,41,2000,0,0,0,"This huge warrior is unmistakeably a half-ogre, as his 7 foot tall","frame clearly shows. He looks strong enough to snap a human in two.","He is clad in leather armour and wields a massive hammer.",,1,45,80,8,25,8274,8297,8310,1000,0,0,0,0,1,25,100,12,36,8444,8297,8310,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Aiken",2,1,100,35,3,0,90,5.00,150,50,1000,1,0,0,0,0,3,0,4,1,0,0,0,0,0,5,60,0,66,8465,65,0,0,0,0,"This bored-looking young man is apparently some sort of magician's","apprentice, if his robes and demeanor are anything to go by. He is","plain-looking, but is decently built, and has a gleam of intelligence","in his eye.",1,100,10,2,12,8465,8466,8467,200,0,134,10,25,2,8,50,100,20,1,1,1,1000,0,132,20,25,2,5,100,100,20,1,1,1,1000,0,51,40,20,0,0,10,0,0,8461,1,1,0,0,131,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Thuluk",2,2,71,55,5,0,70,5.00,200,50,1000,1,0,0,100,0,3,0,4,1,0,0,0,0,0,25,10,0,66,8469,17,0,0,0,0,"Before you stands a powerfully-muscled dwarf, stocky and bare-","chested. His long braided beard is thrust through his belt, and a","broad double-bladed axe hangs at his side.",,1,120,80,6,20,8469,8297,8310,200,0,0,0,0,1,999,100,12,50,8470,8297,8310,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Helfgrim",2,3,65,55,4,0,70,5.00,200,50,1000,1,0,0,100,0,3,0,4,1,1,0,0,0,0,20,150,0,66,8471,62,0,0,0,0,"This tall, powerfully built man has long reddish hair and flashing","blue eyes. His ferocious demeanor is offset by his soft and calming","tone, which is more suited to a diplomat than to a weaponsmith. He","wears nicely-stitched leather clothes, and a broadsword sits nearby.",1,120,80,4,16,8471,8297,8310,200,0,0,0,0,1,999,100,8,45,8470,8297,8310,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Colin",2,4,89,55,4,0,80,5.00,200,60,1000,1,0,0,100,0,3,0,4,1,0,0,0,0,0,30,50,0,66,8472,126,0,0,0,0,"Colin is a tall, moderately-built human with short, dark, greying","hair. He appears to be near fifty years of age, but he has a","youthfulness about him which is reflected in his slate-coloured eyes.","He appears to be one who would have many tales to tell.",1,120,80,4,16,8472,8297,8310,200,0,0,0,0,1,200,100,12,45,8473,8297,8310,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Skali",2,5,67,65,10,0,50,15.00,300,50,1000,1,0,0,100,0,3,0,4,1,0,0,0,0,0,10,0,0,66,2824,129,0,0,0,0,"Skali is slim and bony, but is so well-muscled that he must not have","an ounce of fat on him. His long, lustreless brown hair is swept back","into a long ponytail, and he wears a thick leather apron. His thin","moustaches and squinting eyes give him a sinister appearance.",1,100,80,5,16,2824,8297,8310,200,0,0,0,0,1,200,100,10,45,48,8297,8310,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Gurbultis",2,6,64,50,15,0,50,15.00,300,50,1000,1,0,0,100,0,3,0,4,1,0,0,0,0,0,0,0,0,66,2825,131,0,0,0,0,"Gurbultis is quite short, even for a gnome, but more than makes up","for this fact in pure volume. He is very fat, and wears thick violet","robes and golden chains and rings of all sizes and types, so that he","jangles with each movement. He has a sullen, brooding look.",1,100,80,5,15,2825,8297,8310,200,0,0,0,0,1,300,100,15,40,3254,8297,8310,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Lady Sentara",2,7,0,5,5,0,0,5.00,100,10,1000,1,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,66,2826,55,0,0,888,0,"The Lady Sentara is well-known as the most beautiful woman in","Silvermere. Though she must be nearing her fortieth year, she looks","barely older than half that. Her platinum-blonde hair, sea-blue eyes","and girlish figure have made many a man beg her hand in marriage.",0,5,100,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"dark cultist",8,2,67,15,0,57,40,50.00,50,5,1000,0,10,70,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8281,8282,43,2000,9108,0,0,"This black-robed figure is completely shrouded, so that you cannot","see even the smallest feature. It could be nearly any humanoid","creature. A black iron pendant in the shape of a five-pointed star","hangs around its neck, and it wields a curved shortsword.",1,52,85,2,10,8282,8297,8310,500,0,0,0,0,1,40,100,3,15,8464,8297,8310,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,10,7,1337,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
