"Number","Name","Desc A","Desc B","Desc C","Type","Min Lvl","Max Lvl","MarkUp","Class Limit","Item 0","Max 0","Normal 0","Regen Time 0","Regen Number0","Regen %0","Item 1","Max 1","Normal 1","Regen Time 1","Regen Number1","Regen %1","Item 2","Max 2","Normal 2","Regen Time 2","Regen Number2","Regen %2","Item 3","Max 3","Normal 3","Regen Time 3","Regen Number3","Regen %3","Item 4","Max 4","Normal 4","Regen Time 4","Regen Number4","Regen %4","Item 5","Max 5","Normal 5","Regen Time 5","Regen Number5","Regen %5","Item 6","Max 6","Normal 6","Regen Time 6","Regen Number6","Regen %6","Item 7","Max 7","Normal 7","Regen Time 7","Regen Number7","Regen %7","Item 8","Max 8","Normal 8","Regen Time 8","Regen Number8","Regen %8","Item 9","Max 9","Normal 9","Regen Time 9","Regen Number9","Regen %9","Item 10","Max 10","Normal 10","Regen Time 10","Regen Number10","Regen %10","Item 11","Max 11","Normal 11","Regen Time 11","Regen Number11","Regen %11","Item 12","Max 12","Normal 12","Regen Time 12","Regen Number12","Regen %12","Item 13","Max 13","Normal 13","Regen Time 13","Regen Number13","Regen %13","Item 14","Max 14","Normal 14","Regen Time 14","Regen Number14","Regen %14","Item 15","Max 15","Normal 15","Regen Time 15","Regen Number15","Regen %15","Item 16","Max 16","Normal 16","Regen Time 16","Regen Number16","Regen %16","Item 17","Max 17","Normal 17","Regen Time 17","Regen Number17","Regen %17","Item 18","Max 18","Normal 18","Regen Time 18","Regen Number18","Regen %18","Item 19","Max 19","Normal 19","Regen Time 19","Regen Number19","Regen %19"
13,"Concession Stand",,,,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Warrior Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Paladin Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Leatherworks, Head/Feet","                                                   ","                                                   ","                                                   ",10,2,2,100,0,0,0,0,0,0,0,30,25,1,240,1,100,0,0,0,0,0,0,33,48,1,240,1,100,105,124,2,240,2,100,45,80,2,240,2,100,0,0,0,0,0,0,49,56,1,240,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Blunt Weapons","                                                   ","                                                   ","                                                   ",10,3,3,100,0,87,30,1,240,1,100,89,25,1,240,1,100,88,21,1,240,1,100,91,16,1,240,1,100,102,13,1,240,1,40,103,10,1,240,1,40,171,7,1,500,1,40,100,89,5,240,5,100,101,52,2,240,2,100,449,3,1,240,1,2,116,5,1,240,1,20,864,10,1,240,1,5,867,10,0,0,0,0,871,1,1,240,1,1,870,1,1,240,1,1,0,0,0,0,0,0,264,1,0,0,0,0,788,1,0,0,0,0,877,1,0,0,0,0,0,0,0,0,0,0
19,"Witchunter Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Missionary Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Gypsy Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Warlock Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Druid Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Ranger Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Thief Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Ninja Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Bard Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,9,225,20,1,480,1,50,529,15,1,480,1,45,530,12,1,480,1,40,531,8,1,480,1,35,532,6,1,480,1,30,533,6,1,480,1,30,534,4,1,480,1,25,535,2,1,480,1,20,536,3,1,480,1,15,537,2,1,480,1,10,538,2,1,480,1,5,539,1,1,480,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Mage Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Priest Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Cleric Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Mystic Training Room","                                                   ","                                                   ","                                                   ",8,1,10,300,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Holy Spell Shop","                                                   ","                                                   ","                                                   ",10,2,2,100,0,130,43,3,24,3,100,131,50,3,24,3,100,132,40,3,24,3,100,136,36,3,24,3,100,299,40,3,24,3,100,134,32,2,24,2,100,141,27,2,24,2,100,137,25,2,24,2,100,301,21,1,24,1,100,135,15,1,24,1,100,138,9,1,24,1,100,140,4,1,24,1,100,388,10,1,24,1,100,389,6,1,24,1,25,390,5,1,24,1,20,391,4,1,24,1,20,392,3,1,24,1,25,394,3,1,24,1,25,395,2,1,48,1,25,174,1,1,48,1,5
33,"Jewellry Shop","                                                   ","                                                   ","                                                   ",10,10,10,100,0,161,72,2,240,2,100,162,68,1,240,1,100,163,36,1,240,1,100,164,20,1,240,1,30,165,16,1,240,1,30,166,22,1,240,1,30,170,8,1,240,1,20,1347,4,2,500,2,5,902,1,0,0,0,0,903,1,0,0,0,0,689,100,0,0,0,0,1521,0,0,0,0,0,904,1,0,0,0,0,905,1,0,0,0,0,433,1,1,240,1,5,436,1,1,520,1,1,611,1,1,240,1,1,950,1,0,0,0,0,1984,5,1,240,1,100,0,0,0,0,0,0
35,"Cloakroom","                                                   ","                                                   ","                                                   ",10,5,5,100,0,53,10,1,24,1,70,55,5,1,24,1,70,56,3,1,24,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Druid Spell Shop","                                                   ","                                                   ","                                                   ",10,3,3,100,0,142,45,3,24,3,100,143,41,3,24,3,100,147,38,3,24,3,100,146,34,3,24,3,100,144,30,3,24,3,100,152,32,2,24,2,100,145,28,2,24,2,100,313,24,2,24,2,100,148,20,2,24,2,100,151,16,2,24,2,100,149,12,1,24,1,100,303,7,1,24,1,100,314,5,1,24,1,50,382,25,1,24,1,100,383,16,1,24,1,100,150,10,1,24,1,80,384,4,1,48,1,50,503,4,1,48,1,50,385,3,1,48,1,50,386,2,1,48,1,50
37,"Bard Song Store","                                                   ","                                                   ","                                                   ",10,4,4,100,0,153,65,3,24,3,100,154,60,3,24,3,100,155,54,3,24,3,100,156,50,3,24,3,100,306,50,3,24,3,100,158,40,2,24,2,100,307,37,2,24,2,100,157,35,2,24,2,100,308,30,2,24,2,100,159,28,2,24,2,100,309,22,1,24,1,100,160,20,1,24,1,100,310,16,1,24,1,100,311,10,1,24,1,100,312,5,1,24,1,50,2005,10,1,24,1,25,2006,10,1,24,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Training Room","                                                   ","                                                   ","                                                   ",8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Sysop Trainer","                                                   ","                                                   ","                                                   ",8,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Robes Shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,275,72,2,240,2,100,9,60,2,240,2,100,274,68,2,240,2,100,273,85,2,240,2,100,280,46,2,240,2,100,279,55,2,240,2,100,276,62,2,240,2,100,277,70,2,240,2,100,278,58,2,240,2,100,1346,2,1,500,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Shield Shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,57,52,1,240,1,35,58,45,1,240,1,35,59,38,1,240,1,35,60,22,1,240,1,35,61,18,1,240,1,20,62,10,1,240,1,15,370,6,1,240,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Curio Store","                                                   ","                                                   ","                                                   ",10,1,1,100,0,284,125,2,240,2,100,285,4,1,720,1,5,286,78,1,240,1,100,287,35,1,240,1,60,288,1,1,240,1,7,289,5,1,720,1,10,429,15,1,240,1,10,440,20,1,240,1,10,413,3,1,360,1,2,401,3,1,720,1,2,607,10,1,240,1,25,853,1,0,0,0,0,1845,1,0,0,0,0,1846,1,0,0,0,0,1847,1,0,0,0,0,858,1,0,0,0,0,1848,1,0,0,0,0,1849,1,0,0,0,0,1850,1,0,0,0,0,0,0,0,0,0,0
43,"Armour Shop, Head/Hands/Feet","                                                   ","                                                   ","                                                   ",10,1,1,100,0,34,30,2,240,2,100,35,25,2,240,2,100,36,6,1,240,1,50,37,2,1,240,1,10,42,42,3,240,3,100,43,30,2,240,2,100,44,4,1,240,1,30,50,32,2,240,2,100,51,3,1,240,1,25,403,5,1,720,1,3,444,5,1,720,1,3,988,4,0,0,0,0,1336,1,0,0,0,0,1493,1,0,0,0,0,1841,15,0,0,0,0,1842,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Unholy Spells","                                                   ","                                                   ","                                                   ",10,1,1,150,0,130,35,3,24,3,100,133,30,3,24,3,100,136,27,2,24,2,100,300,20,2,24,2,100,134,16,1,24,1,100,302,10,1,24,1,100,139,6,1,24,1,50,140,4,1,24,1,50,393,5,1,24,1,25,323,1,1,48,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Newhaven Weapon Shop","                                                   ","                                                   ","                                                   ",10,1,1,0,0,100,31,10,24,10,100,90,26,8,24,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Newhaven Armour Shop","                                                   ","                                                   ","                                                   ",10,1,1,0,0,332,35,10,2,10,100,333,35,10,2,10,100,334,35,9,2,9,100,335,35,10,2,10,100,336,35,10,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Newhaven General Store","                                                   ","                                                   ","                                                   ",10,1,1,0,0,175,820,10,240,10,100,176,63,2,240,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Newhaven Spell Shop","                                                   ","                                                   ","                                                   ",10,1,1,0,0,119,120,5,240,5,100,120,100,4,240,4,100,373,105,4,240,4,100,126,60,2,240,2,100,130,125,5,240,5,100,131,140,6,240,6,100,132,110,5,240,5,100,142,118,5,240,5,100,143,95,4,240,4,100,144,80,4,240,4,100,154,100,4,240,4,100,155,82,4,240,4,100,156,65,3,240,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
